city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Hujra Shah Muqim,30.7333,73.8167,Pakistan,PK,Punjab,,70204,70204
Kabirwala,30.4068,71.8667,Pakistan,PK,Punjab,,70123,70123
Mansehra,34.3333,73.2000,Pakistan,PK,Khyber Pakhtunkhwa,minor,69085,69085
Lala Musa,32.7012,73.9605,Pakistan,PK,Punjab,,67283,67283
Nankana Sahib,31.4492,73.7124,Pakistan,PK,Punjab,,63073,63073
Bannu,32.9889,70.6056,Pakistan,PK,Khyber Pakhtunkhwa,minor,62191,62191
Timargara,34.8281,71.8408,Pakistan,PK,Khyber Pakhtunkhwa,minor,58050,58050
Parachinar,33.8992,70.1008,Pakistan,PK,Khyber Pakhtunkhwa,,55685,55685
Gwadar,25.1264,62.3225,Pakistan,PK,Balochistān,minor,51901,23364
Abdul Hakim,30.5522,72.1278,Pakistan,PK,Punjab,,51494,51494
Hassan Abdal,33.8195,72.6890,Pakistan,PK,Punjab,,50044,50044
Tank,32.2167,70.3833,Pakistan,PK,Khyber Pakhtunkhwa,minor,44996,44996
Hangu,33.5281,71.0572,Pakistan,PK,Khyber Pakhtunkhwa,minor,39766,39766
Risalpur Cantonment,34.0049,71.9989,Pakistan,PK,Khyber Pakhtunkhwa,,36653,36653
Karak,33.1167,71.0833,Pakistan,PK,Khyber Pakhtunkhwa,minor,35844,35844
Kundian,32.4522,71.4718,Pakistan,PK,Punjab,,35406,35406
Umarkot,25.3614,69.7361,Pakistan,PK,Sindh,minor,35059,35059
Chitral,35.8511,71.7889,Pakistan,PK,Khyber Pakhtunkhwa,minor,31100,31100
Dainyor,35.9206,74.3783,Pakistan,PK,Gilgit-Baltistan,,25000,25000
Kulachi,31.9286,70.4592,Pakistan,PK,Khyber Pakhtunkhwa,,24738,24738
Kotli,33.5156,73.9019,Pakistan,PK,Azad Kashmir,minor,21462,21462
Gilgit,35.9208,74.3144,Pakistan,PK,Gilgit-Baltistan,minor,8851,8851
Hyderabad City,25.3969,68.3772,Pakistan,PK,Sindh,minor,,
Narowal,32.1020,74.8730,Pakistan,PK,Punjab,minor,,
Khairpur Mir’s,27.5295,68.7592,Pakistan,PK,Sindh,minor,,
Khanewal,30.3017,71.9321,Pakistan,PK,Punjab,minor,,
Jhelum,32.9333,73.7333,Pakistan,PK,Punjab,minor,,
Haripur,33.9942,72.9333,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Shikarpur,27.9556,68.6382,Pakistan,PK,Sindh,minor,,
Rawala Kot,33.8578,73.7604,Pakistan,PK,Azad Kashmir,minor,,
Hafizabad,32.0709,73.6880,Pakistan,PK,Punjab,minor,,
Lodhran,29.5339,71.6324,Pakistan,PK,Punjab,minor,,
Malakand,34.5656,71.9304,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Attock City,33.7667,72.3598,Pakistan,PK,Punjab,minor,,
Batgram,34.6796,73.0263,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Matiari,25.5971,68.4467,Pakistan,PK,Sindh,minor,,
Ghotki,28.0064,69.3150,Pakistan,PK,Sindh,minor,,
Naushahro Firoz,26.8401,68.1227,Pakistan,PK,Sindh,minor,,
Alpurai,34.9000,72.6556,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Bagh,33.9803,73.7747,Pakistan,PK,Azad Kashmir,minor,,
Daggar,34.5111,72.4844,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Bahawalnagar,29.9983,73.2527,Pakistan,PK,Punjab,minor,,
Leiah,30.9646,70.9444,Pakistan,PK,Punjab,minor,,
Tando Muhammad Khan,25.1239,68.5389,Pakistan,PK,Sindh,minor,,
Chakwal,32.9300,72.8500,Pakistan,PK,Punjab,minor,,
Khushab,32.2952,72.3502,Pakistan,PK,Punjab,minor,,
Badin,24.6558,68.8383,Pakistan,PK,Sindh,minor,,
Lakki,32.6072,70.9123,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Rajanpur,29.1041,70.3297,Pakistan,PK,Punjab,minor,,
Dera Allahyar,28.4167,68.1667,Pakistan,PK,Balochistān,minor,,
Shahdad Kot,27.8473,67.9068,Pakistan,PK,Sindh,minor,,
Pishin,30.5833,67.0000,Pakistan,PK,Balochistān,minor,,
Sanghar,26.0464,68.9481,Pakistan,PK,Sindh,minor,,
Upper Dir,35.2074,71.8768,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Thatta,24.7461,67.9243,Pakistan,PK,Sindh,minor,,
Dera Murad Jamali,28.5466,68.2231,Pakistan,PK,Balochistān,minor,,
Kohlu,29.8965,69.2532,Pakistan,PK,Balochistān,minor,,
Mastung,29.7997,66.8455,Pakistan,PK,Balochistān,minor,,
Dasu,35.2917,73.2906,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Athmuqam,34.5717,73.8972,Pakistan,PK,Azad Kashmir,minor,,
Loralai,30.3705,68.5979,Pakistan,PK,Balochistān,minor,,
Barkhan,29.8977,69.5256,Pakistan,PK,Balochistān,minor,,
Musa Khel Bazar,30.8594,69.8221,Pakistan,PK,Balochistān,minor,,
Ziarat,30.3814,67.7258,Pakistan,PK,Balochistān,minor,,
Gandava,28.6132,67.4856,Pakistan,PK,Balochistān,minor,,
Sibi,29.5430,67.8773,Pakistan,PK,Balochistān,minor,,
Dera Bugti,29.0362,69.1585,Pakistan,PK,Balochistān,minor,,
Eidgah,35.3471,74.8563,Pakistan,PK,Gilgit-Baltistan,minor,,
Turbat,26.0012,63.0485,Pakistan,PK,Balochistān,minor,,
Uthal,25.8072,66.6219,Pakistan,PK,Balochistān,minor,,
Khuzdar,27.7384,66.6434,Pakistan,PK,Balochistān,minor,,
Chilas,35.4206,74.0967,Pakistan,PK,Gilgit-Baltistan,minor,,
Kalat,29.0266,66.5936,Pakistan,PK,Balochistān,minor,,
Panjgur,26.9644,64.0903,Pakistan,PK,Balochistān,minor,,
Gakuch,36.1736,73.7667,Pakistan,PK,Gilgit-Baltistan,minor,,
Qila Saifullah,30.7008,68.3598,Pakistan,PK,Balochistān,minor,,
Kharan,28.5846,65.4150,Pakistan,PK,Balochistān,minor,,
Aliabad,36.3078,74.6178,Pakistan,PK,Gilgit-Baltistan,minor,,
Awaran,26.4568,65.2314,Pakistan,PK,Balochistān,minor,,
Dalbandin,28.8885,64.4062,Pakistan,PK,Balochistān,minor,,
